"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"项目库列表","项目库列表","用例--获取项目库列表","0","1943","0","0","0"
"基金总览","子基金-基金投资状态","用例--子基金-基金投资状态","0","88","0","0","0"
"基金总览","子基金直投项目和直投项目-下穿","用例--子基金直投项目和直投项目-下穿","0","288","0","0","0"
"基金库列表","基金库列表","用例--获取基金库列表","0","339","0","0","0"
"基金总览","子基金-各地子基金投资进度","用例--子基金-各地子基金投资进度","0","44","0","0","0"
"基金总览","母基金-基金投资状态","用例--母基金-基金投资状态","0","88","0","0","0"
"基金总览","子基金-各地子基金财政出资情况","用例--子基金-各地子基金财政出资情况","0","44","0","0","0"
"专精特新领域分布","专精特新领域分布","用例--专精特新领域分布","0","3","0","0","0"
"机构库列表","机构库列表","用例--获取机构库列表","0","9","0","0","0"
"基金图谱页面","省市产业基金规模地方总览详情","用例--省市产业基金规模地方总览详情","0","66","0","0","0"
"基金总览","子基金-数据总览","用例--子基金-数据总览","0","44","0","0","0"
"基金总览","子基金-各地子基金规模情况","用例--子基金-各地子基金规模情况","0","22","0","0","0"
"基金总览","子基金-省市县分布","用例--子基金-省市县分布","0","44","0","0","0"
"基金图谱页面","省市产业基金投资进度详情","用例--省市产业基金投资进度详情","0","2","0","0","0"
"基金总览","母基金-投资进度","用例--母基金-投资进度","0","44","0","0","0"
"融资列表","融资列表","用例--获取融资列表","0","4","0","0","0"
"光荣榜榜单分布","光荣榜榜单分布","用例--获取光荣榜榜单分布","0","2","0","0","0"
"下设子基金页面","下设子基金规模情况详情","用例--下设子基金规模情况详情","0","22","0","0","0"
"基金总览","子基金-下穿","用例--子基金-下穿","0","46","0","0","0"
"基金总览","母基金-省市县分布","用例--母基金-省市县分布","0","44","0","0","0"
"光荣榜项目列表","光荣榜项目列表","用例--光荣榜项目列表","0","1","0","0","0"
"基金总览","母基金-数据总览","用例--母基金-数据总览","0","44","0","0","0"
"基金图谱页面","全省产业基金投资总进度","用例--全省产业基金投资总进度","0","2","0","0","0"
"基金图谱页面","基金图谱产业基金模块","用例--获取各市莫母基金分布","0","4","0","0","0"
"产业基金投资项目列表","产业基金投资项目列表","用例--获取产业基金投资项目列表","0","6","0","0","0"
"下设子基金页面","项目投资数","用例--项目投资数","0","2","0","0","0"
"下设子基金页面","下设子基金财政出资情况","用例--下设子基金财政出资情况","0","4","0","0","0"
"光荣榜融资轮次","光荣榜融资轮次","用例--获取光荣榜融资轮次","0","1","0","0","0"
"专精特新省域分布","专精特新省域分布","用例--获取专精特新省域分布","0","2","0","0","0"
"基金图谱页面","省市产业基金规模排名","用例--省市产业基金规模排名","0","2","0","0","0"
"下设子基金页面","下设子基金","用例--下设子基金","0","2","0","0","0"
"下设子基金页面","省内项目投资情况","用例--省内项目投资情况","0","2","0","0","0"
"储备项目列表","储备项目列表","用例--获取储备项目列表","0","1","0","0","0"
"基金图谱页面","省市产业基金投资进度","用例--省市产业基金投资进度","0","2","0","0","0"
"下设子基金页面","下设子基金规模情况","用例--下设子基金规模情况","0","2","0","0","0"
"融资轮次","融资轮次","用例--获取融资轮次","0","1","0","0","0"
"专精特新发布批次企业分布","专精特新发布批次企业分布","用例--获取专精特新发布批次企业分布","0","1","0","0","0"
"重大项目领域分布列表","重大项目领域分布列表","用例--获取重大项目领域分布列表","0","3","0","0","0"
"光荣榜","光荣榜","用例--获取光荣榜统计数据","0","1","0","0","0"
"基金图谱页面","省市产业基金总规模","用例--省市产业基金总规模","0","2","0","0","0"
